HITId,HITTypeId,WorkerId,Answer.surveycode
3WRBLBQ2GR20KGGPQZGGESDT9YQG04,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1RATFICCKLCQ,1559301
3SA4EMRVJVW6XT9OTI6381RLAO80PL,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1RCBWN98I5B90,7895866
3TCFMTM8HEIACBT0N3ZRQT2247B12T,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1RH3X41J9J05R,4191456
3Y40HMYLL1CRMONVDGU4RL1VSD9UXW,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1TW60NCALLP12,3457060
3IJ95K7NDX635C8WR5IEP496HR1NGM,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1USR9JCAMDGM3,9682399
3D42WVSDH8PR3BGFNNL7OZ71KV0FYY,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1VAVGORDKNVW,5667113
3IJ95K7NDX635C8WR5IEP496HR1NGM,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1VPSWYSCJYPEB,BENCHMAR
3VMHWJRYHVA236Q5IRZ55L0SIP6FXS,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1WJN2E3A286W1,1264534
3Y40HMYLL1CRMONVDGU4RL1VSD9UXW,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1ZZCIE79O3048,5072976
3TCFMTM8HEIACBT0N3ZRQT2247B12T,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A1ZZINLCZZYOH4,3956691
3KI0JD2ZU1CC5YR3ZLS3HGARNTW76M,38DURKLYVGSN9ZGUL40K2F75G29JWY,A21SP7E5DFFX37,4619654
3P4ZBJFX2VXNE6LF8M3J32ML9N0FWZ,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A23CXOC5SBL0CQ,613827
33NKDW9FFXCV0U6VRP94XFFPLDJXC6,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A24LB89P1BPKKF,4208149
3EN4YVUOUCMI88C11HQQKJSKBXBXJ3,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A2541C8MY0BYV3,4483740
3P4ZBJFX2VXNE6LF8M3J32ML9N0FWZ,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A25JCKN3DMCYA0,3532805
3KI0JD2ZU1CC5YR3ZLS3HGARNTW76M,38DURKLYVGSN9ZGUL40K2F75G29JWY,A25PFSORDO3SWQ,5901780
3VMHWJRYHVA236Q5IRZ55L0SIP6FXS,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A26VM1XFV125RQ,2689973
33NKDW9FFXCV0U6VRP94XFFPLDJXC6,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A2726YRGIF5ZXL,PROTECTI
3TCFMTM8HEIACBT0N3ZRQT2247B12T,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A288RSAGJBLY9,1997456
3EN4YVUOUCMI88C11HQQKJSKBXBXJ3,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A2A0MSLKF3ERF4,4243328
3VMHWJRYHVA236Q5IRZ55L0SIP6FXS,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A2CS8ESKDX6EBA,3871352
3VMHWJRYHVA236Q5IRZ55L0SIP6FXS,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A2FID4BYT1X6R6,2331745
3IJ95K7NDX635C8WR5IEP496HR1NGM,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A2FP053YUZQ9NF,8284158
3IJ95K7NDX635C8WR5IEP496HR1NGM,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A2HHGI5CNSS5PD,8345469
3WRBLBQ2GR20KGGPQZGGESDT9YQG04,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A2KWEVSI7P1RGQ,PROTECTI
3Y40HMYLL1CRMONVDGU4RL1VSD9UXW,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A2LAWUYEMWODHH,8972117
3D42WVSDH8PR3BGFNNL7OZ71KV0FYY,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A2MCNGY62MPRI5,2782395
3IJ95K7NDX635C8WR5IEP496HR1NGM,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A2T5CROJ0FWIJY,233849
3TCFMTM8HEIACBT0N3ZRQT2247B12T,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A2U0JT7TSIIXPS,8244547
3EN4YVUOUCMI88C11HQQKJSKBXBXJ3,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A2U7U0A4G92GTR,9409269
3D42WVSDH8PR3BGFNNL7OZ71KV0FYY,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A2UVJMJV1EOH9X,3554276
3IJ95K7NDX635C8WR5IEP496HR1NGM,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A2XJH3WC02RMXQ,5838825
3EN4YVUOUCMI88C11HQQKJSKBXBXJ3,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A2YV3AZNJ78OPC,6501364
3KI0JD2ZU1CC5YR3ZLS3HGARNTW76M,38DURKLYVGSN9ZGUL40K2F75G29JWY,A30KYQGABO7JER,2821321
33NKDW9FFXCV0U6VRP94XFFPLDJXC6,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A30N5H4N4C22N8,9714606
3SA4EMRVJVW6XT9OTI6381RLAO80PL,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A30VOAZX8XTNGW,6451717
3VMHWJRYHVA236Q5IRZ55L0SIP6FXS,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A31WRK9KLPR5FD,892997
3TCFMTM8HEIACBT0N3ZRQT2247B12T,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A326TBFF587C3V,4952175
3EN4YVUOUCMI88C11HQQKJSKBXBXJ3,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A32DRYN7M7HIZT,8245534
3Y40HMYLL1CRMONVDGU4RL1VSD9UXW,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A32O4TB7S2YLNL,6257760
33NKDW9FFXCV0U6VRP94XFFPLDJXC6,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A33Z442WJQ8ADC,1278012
3KI0JD2ZU1CC5YR3ZLS3HGARNTW76M,38DURKLYVGSN9ZGUL40K2F75G29JWY,A36VE0W154IHO7,9446879
3KI0JD2ZU1CC5YR3ZLS3HGARNTW76M,38DURKLYVGSN9ZGUL40K2F75G29JWY,A37EV8RZ82WT8E,1769185
3SA4EMRVJVW6XT9OTI6381RLAO80PL,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A37K1ICCYT6EU1,6485004
3SA4EMRVJVW6XT9OTI6381RLAO80PL,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A3B145X2QA8FWA,893027
3KI0JD2ZU1CC5YR3ZLS3HGARNTW76M,38DURKLYVGSN9ZGUL40K2F75G29JWY,A3D2GO0IFRFN6R,3581157
3D42WVSDH8PR3BGFNNL7OZ71KV0FYY,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A3DKFBFK3FA3MA,1811675
3VMHWJRYHVA236Q5IRZ55L0SIP6FXS,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A3DSXUOWWOT30T,4719719
3TCFMTM8HEIACBT0N3ZRQT2247B12T,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A3GGA7I8AFZ8KZ,6587300
3P4ZBJFX2VXNE6LF8M3J32ML9N0FWZ,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A3IM1NBW1G1TCU,4529482
3IJ95K7NDX635C8WR5IEP496HR1NGM,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A3PQ5Q456J981M,7070778
3WRBLBQ2GR20KGGPQZGGESDT9YQG04,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A3QS96739O5M6F,4384286
3Y40HMYLL1CRMONVDGU4RL1VSD9UXW,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A3RCX3IQ8L6HHW,4469726
3Y40HMYLL1CRMONVDGU4RL1VSD9UXW,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A3W21686YJ6ZD2,1656463
3D42WVSDH8PR3BGFNNL7OZ71KV0FYY,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A49MD40UT6ABO,9376571
3IJ95K7NDX635C8WR5IEP496HR1NGM,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A610SH5RY1NG1,9692710
3TCFMTM8HEIACBT0N3ZRQT2247B12T,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A63H8YIHZJPUQ,5526312
3P4ZBJFX2VXNE6LF8M3J32ML9N0FWZ,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A8PJHNOLEDTZI,9030121
3P4ZBJFX2VXNE6LF8M3J32ML9N0FWZ,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A8RDXT4ZILHQT,399115
3SA4EMRVJVW6XT9OTI6381RLAO80PL,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,A9EVF0SO2IUJ0,5344842
3D42WVSDH8PR3BGFNNL7OZ71KV0FYY,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,AAWX7QFQUNM6D,7494860
3P4ZBJFX2VXNE6LF8M3J32ML9N0FWZ,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,ACI8PUCF5OPDC,5799673
3D42WVSDH8PR3BGFNNL7OZ71KV0FYY,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,ADC4VXNQJ9FEW,9689572
3SA4EMRVJVW6XT9OTI6381RLAO80PL,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,AF50K5H2FJWW0,5031807
3KI0JD2ZU1CC5YR3ZLS3HGARNTW76M,38DURKLYVGSN9ZGUL40K2F75G29JWY,AFIK3VBMMX6G6,9706775
3TCFMTM8HEIACBT0N3ZRQT2247B12T,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,AFUUPNBIKHRFZ,5358034
3EN4YVUOUCMI88C11HQQKJSKBXBXJ3,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,AHEEMGVMGEMEQ,7613645
3KI0JD2ZU1CC5YR3ZLS3HGARNTW76M,38DURKLYVGSN9ZGUL40K2F75G29JWY,AHLS6AZ1VTNH7,8991840
3WRBLBQ2GR20KGGPQZGGESDT9YQG04,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,ANCDBBNNGEQBO,7741676
3WRBLBQ2GR20KGGPQZGGESDT9YQG04,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,AQ95Z9O4NLMG0,7999841
3Y40HMYLL1CRMONVDGU4RL1VSD9UXW,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,ARSIEY2IWLDX5,5165131
33NKDW9FFXCV0U6VRP94XFFPLDJXC6,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,ATBBPV37O4K6N,7271001
33NKDW9FFXCV0U6VRP94XFFPLDJXC6,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,AVAYKAIM72C64,344775
3P4ZBJFX2VXNE6LF8M3J32ML9N0FWZ,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,AWUGTYBQGPUT,2243436
33NKDW9FFXCV0U6VRP94XFFPLDJXC6,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,AYMJAMX7Z7YHG,EXCLUSIV
3WRBLBQ2GR20KGGPQZGGESDT9YQG04,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,AZ69TBTDH7AZS,9965390
3EN4YVUOUCMI88C11HQQKJSKBXBXJ3,3YFT7OHBEXZ0HAWT8QO58LAYEKBUZV,AZC1H5Q3EDLWS,AZC1H5Q3
,,A2IRBZJJEB9P5E,NA
,,AJRY9ALX8069Y,NA
